"Food	files/Miserables.txt : 1; 
"Fool	files/Miserables.txt : 1; files/NotreDame_De_Paris.txt : 1; 
"For	files/NotreDame_De_Paris.txt : 16; files/Miserables.txt : 22; 
"Forbidden	files/Miserables.txt : 1; 
"Forever	files/Miserables.txt : 3; 
"Forty	files/Miserables.txt : 4; 
"Forward	files/Miserables.txt : 3; files/NotreDame_De_Paris.txt : 1; 
"Foundling	files/NotreDame_De_Paris.txt : 1; 
"Foundlings	files/NotreDame_De_Paris.txt : 1; 
"Four	files/Miserables.txt : 3; 
"Fours	files/Miserables.txt : 1; 
"Fourteen	files/NotreDame_De_Paris.txt : 1; 
"Fourthly	files/Miserables.txt : 2; 
"France	files/Miserables.txt : 1; files/NotreDame_De_Paris.txt : 1; 
"French	files/Miserables.txt : 2; 
"Friend	files/NotreDame_De_Paris.txt : 3; 
"Friends	files/Miserables.txt : 2; 
"From	files/Miserables.txt : 9; 
"Fye	files/NotreDame_De_Paris.txt : 1; 
"GAVROCHE	files/Miserables.txt : 1; 
"Gamin	files/Miserables.txt : 1; 
"Gardener	files/Miserables.txt : 1; 
"Gazette	files/NotreDame_De_Paris.txt : 1; 
"General	files/Miserables.txt : 1; 
"Gentlemen	files/Miserables.txt : 4; files/NotreDame_De_Paris.txt : 1; 
"Get	files/Miserables.txt : 9; 
"Gieffroy	files/NotreDame_De_Paris.txt : 1; 
"Gillenormand	files/Miserables.txt : 1; 
"Girl	files/NotreDame_De_Paris.txt : 1; 
"Give	files/NotreDame_De_Paris.txt : 5; files/Miserables.txt : 13; 
"Gladly	files/NotreDame_De_Paris.txt : 1; 
"Glory	files/Miserables.txt : 1; 
"Go	files/Miserables.txt : 24; files/NotreDame_De_Paris.txt : 9; 
"God	files/NotreDame_De_Paris.txt : 7; files/Miserables.txt : 7; 
"Godmother	files/NotreDame_De_Paris.txt : 2; 
"Gold	files/Miserables.txt : 1; 
"Gone	files/Miserables.txt : 1; files/NotreDame_De_Paris.txt : 1; 
"Good	files/NotreDame_De_Paris.txt : 22; files/Miserables.txt : 42; 
"Goodness	files/Miserables.txt : 1; 
"Goody	files/NotreDame_De_Paris.txt : 1; 
"Gossip	files/NotreDame_De_Paris.txt : 5; 
"Gracious	files/Miserables.txt : 1; 
"Grand	files/NotreDame_De_Paris.txt : 1; 
"Grant	files/Miserables.txt : 1; 
"Grantaire	files/Miserables.txt : 7; 
"Granted	files/Miserables.txt : 1; files/NotreDame_De_Paris.txt : 1; 
"Gratia	files/Miserables.txt : 1; 
"Great	files/Miserables.txt : 1; 
"Greenhorn	files/Miserables.txt : 2; 
"Greeting	files/NotreDame_De_Paris.txt : 1; 
"Grub	files/Miserables.txt : 1; 
"Gudule	files/NotreDame_De_Paris.txt : 1; 
"Gueule	files/NotreDame_De_Paris.txt : 1; 
"Guillaume	files/NotreDame_De_Paris.txt : 2; 
"Guillemette	files/NotreDame_De_Paris.txt : 1; 
"Ha	files/NotreDame_De_Paris.txt : 1; 
"Had	files/NotreDame_De_Paris.txt : 1; 
"Hah	files/NotreDame_De_Paris.txt : 3; 
"Half	files/Miserables.txt : 2; 
"Halt	files/Miserables.txt : 1; files/NotreDame_De_Paris.txt : 1; 
"Handcuff	files/Miserables.txt : 1; 
"Hannibal	files/Miserables.txt : 1; 
"Happy	files/NotreDame_De_Paris.txt : 2; 
"Hark	files/NotreDame_De_Paris.txt : 1; 
"Harmodius	files/Miserables.txt : 1; 
"Has	files/Miserables.txt : 7; files/NotreDame_De_Paris.txt : 2; 
